nombre,familia,pais
Feliciano Palacios y Sojo,toro_venezuela,venezuela
Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela
Anacleto Clemente Bolívar,palacios_venezuela,venezuela
Carlos Palacios y Blanco,palacios_venezuela,venezuela
Esteban Palacios y Blanco,palacios_venezuela,venezuela
Fernando Bolívar,palacios_venezuela,venezuela
Guillermo Palacios Bolívar,palacios_venezuela,venezuela
Juan Vicente Bolívar Palacios,toro_venezuela,venezuela
Juana Bolívar Palacios,toro_venezuela,venezuela
María Antonia Bolívar Palacios,toro_venezuela,venezuela
Simón Bolívar,bolívar,colombia
Juan de Bolívar y Martínez de Villegas,bolívar,venezuela
María Teresa del Toro,palacios_venezuela,venezuela
Manuel Carvajal Sinisterra,borrero,colombia
María Teresa del Toro,toro_venezuela,venezuela
Manuela Sáenz,palacios_venezuela,ecuador
